	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Mineralogy	282.0	347.0	406.0	583.0	705.0	715.0	992.0	1159.0	1495.0	1529.0	1893.0
Mining Mineral Processing	260.0	320.0	396.0	526.0	768.0	746.0	1131.0	1270.0	1666.0	1715.0	2021.0
Multidisciplinary Sciences	3463.0	5627.0	9204.0	11469.0	12159.0	14823.0	14698.0	11319.0	11856.0	14664.0	15970.0
Mycology	232.0	301.0	273.0	312.0	386.0	382.0	382.0	401.0	437.0	458.0	558.0
Nanoscience Nanotechnology	5339.0	6162.0	7855.0	9364.0	11169.0	13355.0	15235.0	18312.0	21548.0	23006.0	27194.0
Neuroimaging	136.0	120.0	150.0	194.0	210.0	233.0	301.0	325.0	462.0	547.0	521.0
Neurosciences	2983.0	3309.0	3788.0	4390.0	4766.0	5191.0	5925.0	6523.0	7524.0	8774.0	10918.0
Nuclear Science Technology	747.0	758.0	1127.0	1226.0	1437.0	1402.0	1622.0	1803.0	2180.0	2462.0	2557.0
Nursing	153.0	196.0	212.0	235.0	251.0	351.0	322.0	407.0	616.0	838.0	1095.0
Nutrition Dietetics	709.0	745.0	965.0	1054.0	1366.0	1508.0	1747.0	1980.0	2620.0	3104.0	5077.0
Obstetrics Gynecology	730.0	771.0	1034.0	1088.0	1193.0	1320.0	1370.0	1431.0	1922.0	2209.0	2223.0
Oceanography	561.0	618.0	855.0	1064.0	1252.0	1315.0	1502.0	1846.0	2291.0	2611.0	3382.0
Oncology	4265.0	6105.0	7988.0	11094.0	14146.0	16234.0	19964.0	17910.0	20129.0	23295.0	25201.0
Operations Research Management Science	1470.0	1646.0	1523.0	1845.0	1892.0	2035.0	2287.0	2367.0	3185.0	3692.0	4839.0
Ophthalmology	786.0	824.0	1088.0	1072.0	1257.0	1278.0	1349.0	1684.0	2053.0	2170.0	2039.0
Optics	5760.0	6439.0	7885.0	8548.0	8909.0	9398.0	10196.0	11617.0	12581.0	12682.0	14122.0
Orthopedics	566.0	668.0	834.0	990.0	1113.0	1174.0	1169.0	1262.0	1662.0	2370.0	2557.0
Otorhinolaryngology	254.0	288.0	264.0	344.0	335.0	392.0	398.0	397.0	645.0	715.0	723.0
Paleontology	196.0	216.0	226.0	269.0	339.0	404.0	423.0	463.0	604.0	603.0	658.0
Parasitology	297.0	387.0	456.0	510.0	559.0	618.0	619.0	607.0	676.0	824.0	807.0
Pathology	651.0	746.0	995.0	1761.0	2665.0	2314.0	2221.0	1752.0	2102.0	1967.0	1439.0
Pediatrics	511.0	535.0	985.0	728.0	741.0	864.0	783.0	982.0	1268.0	1612.0	2011.0
Peripheral Vascular Disease	846.0	950.0	1128.0	1146.0	1414.0	1527.0	1492.0	2474.0	1815.0	2146.0	1972.0
Pharmacology Pharmacy	4494.0	5269.0	6566.0	6809.0	7921.0	8942.0	9899.0	12686.0	17070.0	20356.0	18726.0
Physics Applied	10810.0	12164.0	14528.0	16286.0	17753.0	19635.0	22821.0	27913.0	32966.0	33065.0	38115.0
Physics Atomic Molecular Chemical	2115.0	2257.0	2582.0	2677.0	3064.0	3135.0	3473.0	3514.0	4012.0	4518.0	4952.0
Physics Condensed Matter	5471.0	5487.0	6025.0	6535.0	7805.0	8358.0	10034.0	12583.0	14168.0	14167.0	16413.0
Physics Fluids Plasmas	1161.0	1304.0	1374.0	1489.0	1542.0	1682.0	1890.0	2160.0	2273.0	2282.0	2694.0
Physics Mathematical	1432.0	1639.0	1904.0	1781.0	1852.0	1959.0	2324.0	2469.0	2535.0	2988.0	3145.0
Physics Multidisciplinary	6045.0	6580.0	6543.0	6257.0	5905.0	5737.0	5752.0	6461.0	7119.0	7346.0	8478.0
Physics Nuclear	1000.0	951.0	1124.0	1139.0	1123.0	1249.0	1224.0	1238.0	1449.0	1291.0	1484.0
Physics Particles Fields	1319.0	1415.0	1479.0	1632.0	1691.0	1909.0	1837.0	2169.0	2285.0	2543.0	2769.0
Physiology	660.0	787.0	953.0	1078.0	1456.0	1507.0	1926.0	3049.0	3122.0	2458.0	2654.0
Plant Sciences	3261.0	3620.0	4073.0	4453.0	5311.0	5962.0	6209.0	6916.0	8665.0	9990.0	11921.0
Political Science							159.0	179.0			
Polymer Science	4317.0	4667.0	5271.0	5383.0	5370.0	5425.0	6085.0	7450.0	9134.0	9620.0	10141.0
Psychiatry	549.0	616.0	696.0	961.0	1074.0	1213.0	1248.0	1746.0	2110.0	2930.0	4586.0
Psychology	190.0	200.0	348.0	329.0	418.0	418.0	430.0	578.0	555.0	632.0	1005.0
Psychology Applied	109.0	151.0	169.0	190.0	244.0	273.0	252.0	288.0	414.0	489.0	655.0
Psychology Biological											496.0
Psychology Clinical	98.0	102.0	124.0	166.0	160.0	233.0	178.0	274.0	343.0	454.0	540.0
Psychology Developmental	75.0	83.0			160.0	159.0	208.0	237.0	355.0	394.0	446.0
Psychology Educational									229.0		
Psychology Experimental	267.0	228.0	298.0	332.0	375.0	396.0	419.0	564.0	683.0	684.0	1162.0
Psychology Multidisciplinary	166.0	648.0	271.0	281.0	416.0	1580.0	722.0	907.0	1109.0	1618.0	2978.0
Psychology Social	135.0	154.0	180.0	212.0	241.0	278.0	300.0	275.0	381.0	431.0	530.0
Public Administration		95.0	99.0								
Public Environmental Occupational Health	1090.0	1133.0	1376.0	1614.0	1961.0	2046.0	2086.0	2759.0	4009.0	5563.0	6901.0
Quantum Science Technology	274.0	262.0	381.0	329.0	484.0	451.0	500.0	593.0	604.0	731.0	732.0
Radiology Nuclear Medicine Medical Imaging	1409.0	1891.0	1747.0	2293.0	2661.0	2680.0	3047.0	3838.0	4902.0	5683.0	5960.0
Regional Urban Planning	101.0	110.0	141.0	198.0	245.0	284.0	294.0	356.0	506.0	620.0	798.0
Rehabilitation	159.0	199.0	239.0	233.0	256.0	262.0	320.0	325.0	429.0	537.0	539.0
Remote Sensing	464.0	588.0	866.0	1478.0	1682.0	1914.0	2446.0	2872.0	3881.0	4165.0	6898.0
Reproductive Biology	497.0	531.0	664.0	672.0	723.0	810.0	839.0	878.0	1101.0	1313.0	1315.0
Respiratory System	1357.0	861.0	1284.0	1277.0	1646.0	2030.0	2202.0	2698.0	2615.0	2837.0	2944.0
Rheumatology	313.0	424.0	495.0	556.0	585.0	685.0	749.0	903.0	1064.0	1256.0	1318.0
Robotics	207.0	296.0	346.0	339.0	404.0	521.0	589.0	739.0	934.0	1169.0	1400.0
Social Sciences Biomedical			126.0	131.0				246.0			
Social Sciences Interdisciplinary	105.0	116.0	187.0	238.0	246.0	290.0	282.0	343.0	522.0	779.0	982.0
Social Sciences Mathematical Methods	81.0	118.0	151.0	163.0	214.0	214.0	237.0	272.0	353.0	358.0	395.0
Social Work									224.0	420.0	
Sociology	107.0	138.0	164.0	182.0	179.0	189.0	206.0	215.0	283.0	360.0	396.0
Soil Science	587.0	640.0	770.0	864.0	889.0	986.0	1178.0	1452.0	1974.0	2186.0	2587.0
Spectroscopy	1627.0	1719.0	1932.0	2264.0	2322.0	2039.0	1937.0	2116.0	2312.0	2500.0	2642.0
Sport Sciences	230.0	310.0	268.0	300.0	373.0	395.0	454.0	460.0	621.0	758.0	867.0
Statistics Probability	881.0	946.0	1060.0	1223.0	1293.0	1367.0	1676.0	1631.0	2075.0	2251.0	2157.0
Substance Abuse		90.0		113.0	135.0						
Surgery	2224.0	2664.0	3228.0	3558.0	3520.0	3438.0	3774.0	4402.0	5465.0	6627.0	7073.0
Telecommunications	2011.0	2837.0	3636.0	3966.0	4680.0	5539.0	7474.0	11397.0	18220.0	19416.0	15792.0
Thermodynamics	1493.0	1559.0	2397.0	3009.0	3689.0	4283.0	5418.0	5803.0	7142.0	6549.0	7927.0
Toxicology	1114.0	1345.0	1475.0	1733.0	2061.0	2717.0	2395.0	3462.0	5816.0	6298.0	4867.0
Transplantation	497.0	660.0	741.0	829.0	757.0	681.0	807.0	842.0	1003.0	952.0	586.0
Transportation	172.0	175.0	236.0	357.0	406.0	554.0	545.0	780.0	977.0	1145.0	1268.0
Transportation Science Technology	358.0	411.0	516.0	692.0	884.0	1242.0	1371.0	1938.0	2356.0	3009.0	3754.0
Tropical Medicine	170.0	191.0	281.0	350.0	433.0	407.0	421.0	382.0	424.0	480.0	479.0
Urban Studies	106.0	125.0	158.0	212.0	287.0	295.0	384.0	407.0	492.0	644.0	637.0
Urology Nephrology	733.0	1116.0	1303.0	1163.0	1104.0	1246.0	1521.0	1418.0	1796.0	2094.0	2002.0
Veterinary Sciences	799.0	1204.0	981.0	861.0	1048.0	1172.0	1327.0	1714.0	2428.0	2639.0	2825.0
Virology	875.0	927.0	997.0	1051.0	1087.0	1142.0	1209.0	1315.0	1401.0	1763.0	1566.0
Water Resources	1428.0	1950.0	2512.0	2430.0	3109.0	3851.0	3632.0	4430.0	5309.0	6148.0	7490.0
Zoology	801.0	926.0	988.0	1022.0	1146.0	1265.0	1301.0	1493.0	1987.0	2226.0	2450.0
